S01E01,"On the Hot Seat"
S01E02,"Cop Wars"
S01E03,"A New Hope"
S01E04,"Training Day"
S01E05,"The B-Team"
S01E06,"Full Moon Fever"
S01E07,"Old Flame"
S01E08,"Where's the Beefcake"
S01E09,"I'm Eddie Penisi"
S01E10,"Fire at the Dispensary"
S02E01,"Payday"
S02E02,"Fire in Sex Town"
S02E03,"Whodunnit"
S02E04,"Lucy Wants a Friend"
S02E05,"I'm Eddie Penisi...Sr"
S02E06,"The C-Team"
S02E07,"Fire Choir"
S02E08,"The Crying Game"
S02E09,"Ike and Mike"
S02E10,"Firefighter's Ball Part 1"
S02E11,"Firefighter's Ball Part 2"
S02E12,"To Nightmare Manor"
S02E13,"A Christmas Story"
S03E01,"Quarantine"
S03E02,"Hell Week"
S03E03,"The Big Chill"
S03E04,"How I Met Your Mother"
S03E05,"Carpet Diem"
S03E06,"Rise of the Machines"
S03E07,"The Quiet Party"
S03E08,"Eddie the Chief"
S03E09,"Wedding Crashers"
S03E10,"Eddie's Exes"
S03E11,"Thanksgiving"
S03E12,"Pickleball"
S03E13,"Fire At The Fire Station"
S04E01,"Pirate World FD"
S04E02,"The Probie Imbroglio"
S04E03,"The Penisi Way"
S04E04,"Who Gives A-Shift"
S04E05,"Death Photo"
S04E06,"Valentine's Day"
S04E07,"Big Trouble in Little Belgium"
S04E08,"Chicken Fight"
S04E09,"Gone Dutch"
S04E10,"Firefighters Only"
S04E11,"It's a Penisi-ful Life"
S04E12,"Kangaroo Court"
S04E13,"Bad Blood"